web-scraper-order,web-scraper-start-url,authors,title,conference,citations,year
"1665548418-4501","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Dietrich, P Shaker, JM Atlee, D Rayside, J Gorzny","Feature interaction analysis of the feature-oriented requirements-modelling language using Alloy","Proceedings of the Workshop on Model-Driven Engineering, Verification and …, 2012","6","2012"
"1665548418-4502","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, HC Estler","A spreadsheet-like user interface for combinatorial multi-objective optimization","Proceedings of the 2009 Conference of the Center for Advanced Studies on …, 2009","5","2009"
"1665548418-4503","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","E Eray, B Golzarpoo, D Rayside, C Haas","An overview on integrating interface management and building information management systems","Proceedings of the 6th CSCE-CRC International Construction Specialty Conference, 2017","4","2017"
"1665548418-4504","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","V Montaghami, D Rayside","Pattern-based debugging of declarative models","2015 ACM/IEEE 18th International Conference on Model Driven Engineering …, 2015","4","2015"
"1665548418-4505","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, G Campbell","An aristotelian introduction to classification","ECOOP’2000 Workshop on Objects and Classification, a natural convergence, M …, 2000","4","2000"
"1665548418-4506","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","R Dempster, M Al-Sharman, Y Jain, J Li, D Rayside, W Melek","Drg: A dynamic relation graph for unified prior-online environment modeling in urban autonomous driving","2022 International Conference on Robotics and Automation (ICRA), 8054-8060, 2022","3","2022"
"1665548418-4507","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","C Hu, S Hudson, M Ethier, M Al-Sharman, D Rayside, W Melek","Sim-to-Real Domain Adaptation for Lane Detection and Classification in Autonomous Driving","arXiv preprint arXiv:2202.07133, 2022","3","2022"
"1665548418-4508","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","E Eray, CT Haas, D Rayside","Interface health and workload between stakeholders in complex capital projects: Assessment, visualization, and interpretation using SNA","Journal of Management in Engineering 37 (3), 04021006, 2021","3","2021"
"1665548418-4509","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","E Eray, C Haas, D Rayside","A model for measuring interface health between project stakeholders in complex construction projects","Proceedings of the 7th CSCE/CRC International Construction Specialty …, 2019","3","2019"
"1665548418-4510","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","M Al-Sharman, R Dempster, MA Daoud, M Nasr, D Rayside, W Melek","Self-Learned Autonomous Driving at Unsignalized Intersections: A Hierarchical Reinforced Learning Approach for Feasible Decision-Making","TechRxiv, 2022","2","2022"
"1665548418-4511","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","E Eray, CT Haas, D Rayside, M Golparvar-Fard","A conceptual framework for tracking design completeness of Track Line discipline in MRT projects","ISARC. Proceedings of the International Symposium on Automation and Robotics …, 2018","2","2018"
"1665548418-4512","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","N Klassen, M Lyons, M Prysiazny, P Roth, P Socha, M Berzish, A Zaman, ...","Manifold 2.0: a hardware description language for microfluidic devices","2017 IEEE 30th Canadian Conference on Electrical and Computer Engineering …, 2017","2","2017"
"1665548418-4513","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","M Berzish, A Khan, A Zaman, V Ganesh, D Rayside","Manifold: An smt-based declarative language for electronic and microfluidic design synthesis","Proceedings of the 26th Annual International Conference on Computer Science …, 2016","2","2016"
"1665548418-4514","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside","A compiler project with learning progressions","Companion Proceedings of the 36th International Conference on Software …, 2014","2","2014"
"1665548418-4515","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Dietrich, P Shaker, J Gorzny, J Atlee, D Rayside","Translating the Feature-Oriented Requirements Modelling Language to Alloy","Tech. Rep. CS-2012-12, University of Waterloo, David R. Cheriton School of …, 2012","2","2012"
"1665548418-4516","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","K Driesen, P Lam, J Miecznikowski, F Qian, D Rayside","On the predictability of Java byte codes","2000 Conference on Object-Oriented Programming, Systems, Languages, and …, 2000","2","2000"
"1665548418-4517","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","R Dempster, M Al-Sharman, D Rayside, W Melek","Real-time unified trajectory planning and optimal control for urban autonomous driving under static and dynamic obstacle constraints","arXiv preprint arXiv:2209.09320, 2022","1","2022"
"1665548418-4518","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","C Rennick, D Rayside, J Harris, P Lam","SOFTWARE ENGINEERING DAYS: USING A VIDEO GAME PLATFORM TO TEACH COLLABORATIVE SOFTWARE DEVELOPMENT","Proceedings of the Canadian Engineering Education Association (CEEA), 2019","1","2019"
"1665548418-4519","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","A Abbassi, NA Day, D Rayside","Astra version 1.0: evaluating translations from alloy to SMT-LIB","arXiv preprint arXiv:1906.05881, 2019","1","2019"
"1665548418-4520","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","B Golzarpoor, C Haas, J Gray, D Rayside, S Kang","Industry Foundation Processes (IFP)–a unique approach to improve process conformance and interoperability","6th CSCE/CRC international construction specialty conference, Vancouver, Canada, 2017","1","2017"
"1665548418-4521","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside","Polymorphism is a Problem","Panel on Reverse Engineering and Architecture (CSMR 2002)(March 2002), 2002","1","2002"
"1665548418-4522","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","K Driesen, P Lam, J Miecznikowski, F Qian, D Rayside","On the predictability of java byte codes (abstract)","Addendum to the 2000 proceedings of the conference on Object-oriented …, 2000","1","2000"
"1665548418-4523","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","A Zhuang, E Zhou, Q Li, R Dempster, A Budhwani, M Al-Sharman, ...","RADACS: Towards Higher-Order Reasoning using Action Recognition in Autonomous Vehicles","arXiv preprint arXiv:2209.14408, 2022","","2022"
"1665548418-4524","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside","ECE351 Course Outline, Winter 2018","","","2018"
"1665548418-4525","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D RAYSIDE, ECE STAFF","ECE351 COURSE NOTES","","","2018"
"1665548418-4526","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","ST Stewart, D Rayside, V Ganesh, K Czarnecki","Accelerating the General Simplex Procedure for Linear Real Arithmetic via GPUs","Working Conference on Verified Software: Theories, Tools, and Experiments …, 2016","","2016"
"1665548418-4527","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Dietrich, P Shaker, JM Atlee, D Rayside","ACM Copyright Notice","","","2012"
"1665548418-4528","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","DF Rayside","Automating abstraction functions","Massachusetts Institute of Technology, 2010","","2010"
"1665548418-4529","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside","PointsTo Analysis","","","2005"
"1665548418-4530","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, L Mendel, R Seater, D Jackson","Lucida: An Analyzing Program Browser","","","2005"
"1665548418-4531","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","D Rayside, M Litoiu, MA Storey, C Best","Visualizing Flow Diagrams with SHriMP","","","2001"
"1665548418-4532","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","A Bergel, D Rayside, L Guerrouj, A Sureka, E Hill, M Burch, C Freitas, ...","Technical Track","","",""
"1665548418-4533","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","J Cook, CA Furia, N Aguirre, B Baudry, A Bergel, D Bianculli, P Bonzini, ...","ICSE 2016","","",""
"1665548418-4534","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","S Baltes, O Benomar, I Beschastnikh, A Blouin, A Chiș, C De Roover, ...","VISSOFT 2016 Program Committee–NIER and Tool Track","","",""
"1665548418-4535","https://scholar.google.com/citations?user=hG-Un48AAAAJ&hl=en&oi=ao","S Fischmeister, D Rayside, S Apel, A Wąsowski","Jianmei Guo","","",""
"1665548429-4536","https://scholar.google.com/citations?user=SO3M2JwAAAAJ&hl=en&oi=ao","D Kereiakes, TJ Linnemeier, DS Baim, R Kuntz, C O’Shaughnessy, ...","Usefulness of stent length in predicting in-stent restenosis (the MULTI-LINK stent trials)","American Journal of Cardiology 86 (3), 336-341, 2000","106","2000"
"1665548429-4537","https://scholar.google.com/citations?user=SO3M2JwAAAAJ&hl=en&oi=ao","DJ Kereiakes, M Midei, J Hermiller, C O’Shaughnessy, R Schlofmitz, ...","Procedural and late outcomes following MULTI-LINK DUET coronary stent deployment","The American journal of cardiology 84 (12), 1385-1390, 1999","49","1999"
"1665548429-4538","https://scholar.google.com/citations?user=SO3M2JwAAAAJ&hl=en&oi=ao","DP Foley, D Kererakes, JAM te Riele, N Nishimura, S Veldhof, S Fink, ...","Acute and 6‐month clinical and angiographic outcome after implantation of the ACS Duet stent for single‐vessel coronary artery disease: Final results of the European and US ACS …","Catheterization and cardiovascular interventions 54 (1), 25-33, 2001","5","2001"
"1665548429-4539","https://scholar.google.com/citations?user=SO3M2JwAAAAJ&hl=en&oi=ao","D Kereiakes, D Cox, J Hermiller, C O'Shaughnessy, JT Riele, A Lansky, ...","MULTILINK-TETRA: A new generation stent design with enhanced clinical performance.","AMERICAN JOURNAL OF CARDIOLOGY 86 (8 A), 17I-17I, 2000","","2000"
"1665548443-4540","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","P Bose, JF Buss, A Lubiw","Pattern matching for permutations","Information Processing Letters 65 (5), 277-283, 1998","243*","1998"
"1665548443-4541","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","A Lubiw","Doubly lexical orderings of matrices","Proceedings of the seventeenth annual ACM symposium on Theory of computing …, 1985","207","1985"
"1665548443-4542","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","A Lubiw","Some NP-complete problems similar to graph isomorphism","SIAM Journal on Computing 10 (1), 11-21, 1981","192","1981"
"1665548443-4543","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","M Dror, A Efrat, A Lubiw, JSB Mitchell","Touring a sequence of polygons","Proceedings of the thirty-fifth annual ACM symposium on Theory of computing …, 2003","180","2003"
"1665548443-4544","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","P Brass, E Cenek, CA Duncan, A Efrat, C Erten, DP Ismailescu, ...","On simultaneous planar graph embeddings","Computational Geometry 36 (2), 117-130, 2007","163*","2007"
"1665548443-4545","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","MD Hutton, A Lubiw","Upward planar drawing of single-source acyclic digraphs","SIAM Journal on Computing 25, 291, 1996","127*","1996"
"1665548443-4546","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","P Bose, A Lubiw, JI Munro","Efficient visibility queries in simple polygons","Computational Geometry 23 (3), 313-335, 2002","116","2002"
"1665548443-4547","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","TC Biedl, P Bose, ED Demaine, A Lubiw","Efficient algorithms for Petersen's matching theorem","Journal of Algorithms 38 (1), 110-134, 2001","99","2001"
"1665548443-4548","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","A Efrat, SG Kobourov, A Lubiw","Computing homotopic shortest paths efficiently","Computational Geometry 35 (3), 162-172, 2006","98*","2006"
"1665548443-4549","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","T Biedl, E Demaine, M Demaine, S Lazard, A Lubiw, J O'Rourke, ...","Locked and unlocked polygonal chains in three dimensions","Discrete & Computational Geometry 26 (3), 269-281, 2001","98*","2001"
"1665548443-4550","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","T Biedl, E Demaine, M Demaine, A Lubiw, M Overmars, S Robbins, ...","Unfolding some classes of orthogonal polyhedra","","85*","1998"
"1665548443-4551","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","ED Demaine, ML Demaine, A Lubiw","Folding and cutting paper","Japanese Conference on Discrete and Computational Geometry, 104-118, 1998","83","1998"
"1665548443-4552","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","A Lubiw","Decomposing polygonal regions into convex quadrilaterals","Proceedings of the first annual symposium on Computational geometry, 97-106, 1985","83","1985"
"1665548443-4553","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","A Lubiw","Г-free matrices","Master's Thesis, Faculty of Mathematics, University of Waterloo, Ontario, Canada, 1982","78*","1982"
"1665548443-4554","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","P Bose, H Everett, SP Fekete, ME Houle, A Lubiw, H Meijer, K Romanik, ...","A visibility representation for graphs in three dimensions","Graph Algorithms And Applications I, 103-118, 2002","73","2002"
"1665548443-4555","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","F Bose, L Guibas, A Lubiw, M Overmars, D Souvaine, J Urrutia","The floodlight problem","","72","1994"
"1665548443-4556","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","A Lubiw, L Tanur","Pattern Matching in Polyphonic Music as a Weighted Geometric Translation Problem.","ISMIR, 2004","69","2004"
"1665548443-4557","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","T Biedl, E Demaine, M Demaine, S Lazard, A Lubiw, J O'Rourke, ...","A note on reconfiguring tree linkages: Trees can lock","Discrete Applied Mathematics 117 (1-3), 293-297, 2002","68","2002"
"1665548443-4558","https://scholar.google.com/citations?user=XO7YvFwAAAAJ&hl=en&oi=ao","J Kratochvíl, A Lubiw, J Nešetřil","Noncrossing subgraphs in topological layouts","SIAM Journal on Discrete Mathematics 4 (2), 223-244, 1991","67","1991"
